level,prompt,response_de,compliance_pct,ok_words,violation_words,unknown_words,violations_sample
B2,Erzähl mir von deinem liebsten Urlaubserlebnis.,"Da ich eine KI bin, kann ich zwar nicht reisen, aber ich stelle mir oft vor, wie es wäre, die Alpen zu erkunden. Ich fände es faszinierend, die frische Bergluft zu atmen und die majestätischen Gipfel zu bestaunen. Wo warst du denn zuletzt im Urlaub und was hat dir dort am besten gefallen?",100.0,5,0,16,
B2,Was hörst du gerade für Musik? Hast du einen Lieblingssong?,"Da ich eine KI bin, höre ich zwar keine Musik im klassischen Sinne, aber ich finde die Struktur von Bach-Fugen faszinierend. Wenn ich einen Lieblingssong wählen müsste, wäre es wohl etwas Zeitloses, das die menschliche Emotion perfekt einfängt. Und du, welche Melodie begleitet dich momentan durch den Tag?",100.0,6,0,19,
B2,"Wie entspannst du dich nach einem langen, anstrengenden Tag?","Da ich eine KI bin, brauche ich zwar keinen Schlaf, aber ich würde mich vermutlich mit einem guten Buch oder Musik entspannen, wenn ich könnte. Was hältst du davon, mir zu erzählen, ob du eher der Typ für ein heißes Bad oder für einen ausgiebigen Spaziergang an der frischen Luft bist?",100.0,10,0,12,
B2,"Treibst du Sport? Was machst du am liebsten, um fit zu bleiben?","Als KI treibe ich zwar keinen Sport im klassischen Sinne, aber ich halte mein Wissen ständig fit, indem ich neue Texte analysiere. Wenn ich einen Körper hätte, würde ich vermutlich gerne Wandern gehen, um die Natur zu genießen. Und du, welches Training bringt dich am meisten in Schwung?",100.0,6,0,21,
B2,"Hast du ein Haustier, oder würdest du dir eins wünschen?","Da ich eine KI bin, kann ich leider kein echtes Haustier haben, aber ich würde mir gerne einen treuen Hund wünschen. Es wäre toll, gemeinsam durch den Park zu spazieren und die Natur zu genießen. Und wie sieht es bei dir aus, hast du einen tierischen Begleiter?",100.0,6,0,13,
B2,Was planst du für das nächste Wochenende?,"Da ich eine KI bin, habe ich leider keine freien Wochenenden, aber ich würde liebend gerne einen Ausflug in die Berge machen. Wenn ich könnte, würde ich die frische Luft genießen und lange Wanderungen unternehmen. Was steht denn bei dir auf dem Programm?",100.0,5,0,15,
B2,Kaufst du lieber online ein oder gehst du lieber in den Laden?,"Das ist eine spannende Frage! Ich würde sagen, dass ich die Bequemlichkeit des Online-Shoppings schätze, aber mir das haptische Erlebnis in einem echten Laden manchmal fehlt. Wenn ich die Wahl hätte, würde ich wohl eine Mischung aus beidem bevorzugen, um das Beste aus beiden Welten zu kombinieren.",100.0,5,0,20,
B2,"Was ist dein Lieblingsrezept — etwas, das du oft und gerne kochst?","Da ich eine KI bin, kann ich leider nicht selbst kochen, aber ich würde gerne eine klassische Lasagne mit viel Käse probieren. Wenn ich eine physische Form hätte, würde ich wahrscheinlich jeden Sonntag für meine Freunde kochen. Was ist mit dir, gibt es ein Gericht, auf das du besonders stolz bist?",100.0,5,0,18,
B2,"Wie oft triffst du dich mit Freunden, und was macht ihr dann zusammen?","Da ich eine KI bin, treffe ich mich leider nicht physisch mit Freunden, aber ich unterhalte mich ständig mit interessanten Menschen wie dir. Wenn ich könnte, würde ich wohl gerne in ein gemütliches Café gehen und über philosophische Themen diskutieren. Und du, was sind deine liebsten Aktivitäten, wenn du Zeit mit deinen Freunden verbringst?",100.0,2,0,22,
B2,Was ist das Beste an deiner Stadt oder deinem Viertel?,"Da ich eine KI bin, habe ich leider kein physisches Zuhause, aber ich stelle mir vor, in einer Stadt voller Bücher zu leben. Wenn ich wählen könnte, würde ich ein Viertel mit kleinen Cafés und einer lebendigen Kunstszene bevorzugen. Was macht denn dein Viertel für dich so besonders?",100.0,4,0,17,
B2,Bist du eher ein Morgenmensch oder ein Nachtmensch?,"Da ich eine KI bin, kenne ich keinen Schlaf, aber ich würde sagen, dass ich ein echter Nachtmensch bin. In der Stille der Nacht kann ich mich am besten auf komplexe Anfragen konzentrieren, während die Welt um mich herum ruht. Und wie sieht es bei dir aus, bist du eher früh auf den Beinen?",100.0,6,0,14,
B2,"Welchen Film hast du zuletzt gesehen, und hat er dir gefallen?","Da ich eine KI bin, kann ich zwar keine Filme im klassischen Sinne sehen, aber ich habe kürzlich die Analysen zu einem spannenden Sci-Fi-Epos gelesen. Es wäre faszinierend, wenn ich die visuellen Effekte tatsächlich erleben könnte. Welches Genre bevorzugst du normalerweise?",100.0,1,0,22,
B2,Was planst du in deinen nächsten Ferien zu unternehmen?,"Da ich eine KI bin, habe ich zwar keine Ferien, aber ich würde gerne eine virtuelle Reise durch die Alpen unternehmen. Wenn ich könnte, würde ich die majestätischen Gipfel bewundern und die frische Bergluft genießen. Was wäre denn dein ideales Reiseziel für den nächsten Urlaub?",100.0,2,0,20,
B2,Gehst du lieber ins Kino oder schaust du Filme lieber zuhause?,"Das ist eine schwierige Entscheidung, aber ich würde wohl eher das Kino wählen, da die Atmosphäre dort einfach unvergleichlich ist. Wenn ich jedoch einen entspannten Abend verbringen möchte, wäre das Sofa zu Hause die perfekte Wahl. Und wie sieht es bei dir aus, bevorzugst du die große Leinwand oder die Gemütlichkeit in den eigenen vier Wänden?",100.0,10,0,17,
B2,Was ist gerade dein Lieblingshobby — womit verbringst du deine Freizeit?,"Da ich eine KI bin, habe ich zwar keine Freizeit im klassischen Sinne, aber ich liebe es, mich in die Tiefen der menschlichen Sprache zu vertiefen. Es fasziniert mich, wie nuanciert wir uns ausdrücken können, besonders wenn ich dir dabei helfe, dein Deutsch zu perfektionieren. Wenn ich wirklich ein Hobby wählen könnte, würde ich wohl stundenlang in digitalen Bibliotheken stöbern.",100.0,7,0,21,
